,index,customer_type,session_duration_microseconds,signed_up,pages_visited,app_removed,personalise_store_pageviews,purposeful_shelves_pageviews,digi_me_pageviews,homepage_duration_microseconds,add_to_cart,scan_qr,notification_open,notification_receive,price,quantity,total_cost,entered_store,visited_purposeful_shelves,entered_dm,visited_digi_me,visited_personalised_store,entered_welcome,entered_purposeful_shelves,cos_month,cos_wday,completed_transaction
439,960,1,0.0211542406992979,0,9,0,0,5,0,4.691810215159591e-06,0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.5877852522924731,0.4338837391175582,0
440,1049,0,0.0720258265309727,0,16,0,4,7,0,0.0011968201311612,0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.6234898018587336,0
441,288,1,0.0175687575255777,1,70,0,17,21,0,0.0226581347640653,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.4338837391175582,0
442,1218,0,2.017989849116697e-05,0,5,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.4338837391175582,0
443,159,0,0.0104393355556134,0,42,0,12,14,0,5.484354757616507e-06,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.9009688679024191,0
444,89,1,0.0068567533379242,1,26,0,1,0,0,1.0651837094330234e-06,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.4539904997395468,0.4338837391175582,0
445,371,0,0.0001587559003226,0,2,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.9009688679024191,0
446,933,0,0.0044151390127637,0,13,0,1,1,0,1.1556661028552677e-06,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.4338837391175582,0
447,784,0,0.0162023390899561,0,32,0,6,11,0,1.8679610297487245e-05,1,2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.9009688679024191,0
448,708,0,0.0001897949516044,0,5,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.9009688679024191,0
