event_date,session_timestamp,event_wday,user_id,user_customer_id,session_duration_microseconds,visited_personalised_store,personalise_store_pageviews,visited_purposeful_shelves,purposeful_shelves_pageviews,visited_digi_me,digi_me_pageviews,entered_store,entered_purposeful_shelves,entered_dm,entered_welcome
02/08/2022,1.65943E+15,Tuesday,24E67F68C97C46CA94C83083EE5BFF18,rmzrZm9JLtYPiSCQo5ESlzqclj63,28286634009,1,2,0,0,0,0,1,1,1,1
05/07/2022,1.65702E+15,Tuesday,697C86121B7D4185A0D68D1E7834FEB5,GyQYQpYoUNcWxOJKtyGe5MxXD9j2,114180001,0,0,0,0,0,0,1,0,0,1
16/08/2022,1.66064E+15,Tuesday,24E67F68C97C46CA94C83083EE5BFF18,rmzrZm9JLtYPiSCQo5ESlzqclj63,24380524028,0,0,0,0,0,0,1,0,1,0
27/09/2022,1.66427E+15,Tuesday,24E67F68C97C46CA94C83083EE5BFF18,rmzrZm9JLtYPiSCQo5ESlzqclj63,17998262020,0,0,0,0,0,0,1,1,0,0
27/09/2022,1.66427E+15,Tuesday,425BE6D7542E48E293126C8DECE56983,059VyWLoggdNE5iYtEKRPmN0Sk03,21443292008,0,0,0,0,0,0,1,1,0,1
27/09/2022,1.66427E+15,Tuesday,69F1E7390D9F42FAAC087B34E704620E,xOJQXkKR9BQGeGCqpiblh4yjJjm2,1279918019,0,0,0,0,0,0,1,1,0,0
13/09/2022,1.66306E+15,Tuesday,6073C1FFAA26452A922E43F33F55EDA6,m7B3CDKCROWoPWwEF9VZVgNzk9r2,7015264013,0,0,0,0,0,0,1,1,0,0
13/09/2022,1.66307E+15,Tuesday,B5B16DB35477465DA2AD1DBB01EB71EC,0PPfsV1L1YdzrBzloi3YV5WEV8C2,4380001,0,0,0,0,0,0,1,0,0,0
13/09/2022,1.66306E+15,Tuesday,1FF256035BA247B0AF2480887ABD0434,u5rBcShPqHO2Pyvg0Xwi4kZdsvR2,6451006,0,0,0,0,0,0,1,0,0,1
13/09/2022,1.66306E+15,Tuesday,24E67F68C97C46CA94C83083EE5BFF18,rmzrZm9JLtYPiSCQo5ESlzqclj63,17273774004,0,0,0,0,0,0,1,1,1,1
26/07/2022,1.65884E+15,Tuesday,B6D2710FBB0A4E77805D055D8450A394,RrFRxE3TxhfRM7uFqVMaeflr3nA2,1407246025,0,0,0,0,0,0,1,0,1,1
23/08/2022,1.66126E+15,Tuesday,9A6EDE6540B54BE2987FCEDDF4986A76,61gdPddDxtQcBdQycs15Z8UhYHl2,8603005,0,0,0,0,0,0,1,0,0,1
23/08/2022,1.66124E+15,Tuesday,A391EF765A384E7A87892321A332A1EB,SEDOsWrhcGMeeFW52zn3yHR0uc32,10467995,0,0,0,0,0,0,1,0,0,1
23/08/2022,1.66125E+15,Tuesday,06712EB31167440BBB3E7FE69E9FA1DD,SEDOsWrhcGMeeFW52zn3yHR0uc32,19354209040,0,0,0,0,0,0,1,1,1,1
23/08/2022,1.66124E+15,Tuesday,effbc254ba576278fa5d064491958314,SeQflhtOohaV0PLzC5qjH8MiihB3,1791527098,0,0,0,0,0,0,1,1,1,1
04/10/2022,1.66489E+15,Tuesday,81a509c7049ce926e3ebcdbac49fff0e,Qz1zcnjp3gc7VP3nmmmCYfWViyF3,3452976060,0,0,0,0,0,0,1,1,1,1
20/09/2022,1.66369E+15,Tuesday,8daebbe08b74c07d3edd9121074e996d,iwcMbVN3GEhBInwX0xFwG5UbKjw2,1577301051,0,0,0,0,0,0,1,1,1,1
12/07/2022,1.65763E+15,Tuesday,0f048677ad4a48d30e81501da52c8543,9HOR7rk4BINKxYHJ6kcGJ2Tr57o1,8713861004,1,4,0,0,0,0,1,0,1,1
12/07/2022,1.65764E+15,Tuesday,e4e33b3c42f3c05e6ecc113b4532e044,K9KeA6etCVe1opm6b1ThDsMiVW33,873797003,0,0,0,0,0,0,1,0,0,0
21/06/2022,1.6558E+15,Tuesday,e4e33b3c42f3c05e6ecc113b4532e044,x3vKlw36WLYCI1TFmw5pGUW7ye82,0,0,0,0,0,0,0,1,0,0,0
21/06/2022,1.65581E+15,Tuesday,4A38C21703EC41BCA1C0183A94F653DA,YkI4myH3iqYyVbOlePYRus6S2OO2,7123242030,0,0,0,0,0,0,1,1,0,0
09/08/2022,1.66004E+15,Tuesday,9A6EDE6540B54BE2987FCEDDF4986A76,fvvpm6afISaFbcNa4GF7m62D83n2,29319002002,0,0,0,0,0,0,1,1,0,1
09/08/2022,1.66006E+15,Tuesday,effbc254ba576278fa5d064491958314,ilkk3rXHfvRVozJzRT77tN1Bu9I2,4800804008,0,0,0,0,0,0,1,1,1,1
30/08/2022,1.66185E+15,Tuesday,5F14381EF7B640169F7D4496AFEECAD4,Vd622npvn1Sh8kMzbR45forKJIt1,3058762003,0,0,0,0,0,0,1,0,0,0
30/08/2022,1.66184E+15,Tuesday,CA987884BA0A47A4AF602B365E8F0E82,61gdPddDxtQcBdQycs15Z8UhYHl2,2546434004,0,0,0,0,0,0,1,0,0,1
02/08/2022,1.65944E+15,Tuesday,524199d664554e54d28f8bb40465cc86,jXERmJYownSEf2vjEPijM8dfZYv2,1256262073,0,0,1,16,0,0,1,1,1,1
05/07/2022,1.65702E+15,Tuesday,0f048677ad4a48d30e81501da52c8543,9HOR7rk4BINKxYHJ6kcGJ2Tr57o1,8576461016,0,0,1,5,0,0,1,1,1,1
16/08/2022,1.66067E+15,Tuesday,12b8871209c2c81f891fd66ac6663867,K9KeA6etCVe1opm6b1ThDsMiVW33,15060826000,0,0,1,35,0,0,1,1,0,0
16/08/2022,1.66064E+15,Tuesday,effbc254ba576278fa5d064491958314,SeQflhtOohaV0PLzC5qjH8MiihB3,17044134005,0,0,1,8,0,0,1,1,1,1
16/08/2022,1.66066E+15,Tuesday,99ea1a7acf477a89dc63bdc9bcbb457d,Jt5BvcmpiUXU107rc1ySvTgTq4A2,3309369044,0,0,1,21,0,0,1,1,1,1
27/09/2022,1.66427E+15,Tuesday,8A3BF6CFC3AC459DAE2B4E9546C9A4B1,m7Wv735EtvXddRYYehtPKxktlzg2,164501000,0,0,1,7,0,0,1,1,0,0
27/09/2022,1.66428E+15,Tuesday,65cc22ca4b3da382ffd0397a2214d8a0,LpojCM2iYLUcR4AYCcLWGyxkA6i1,225834008,0,0,1,13,0,0,1,1,0,1
27/09/2022,1.66427E+15,Tuesday,6073C1FFAA26452A922E43F33F55EDA6,m7B3CDKCROWoPWwEF9VZVgNzk9r2,29192918001,0,0,1,10,0,0,1,1,1,1
27/09/2022,1.66427E+15,Tuesday,1FF256035BA247B0AF2480887ABD0434,qn0hSmruuzO3NqaBbXqWBBy1zEs2,21814887018,1,3,1,18,0,0,1,1,1,1
13/09/2022,1.66307E+15,Tuesday,effbc254ba576278fa5d064491958314,SeQflhtOohaV0PLzC5qjH8MiihB3,924050024,0,0,1,3,0,0,1,1,1,1
13/09/2022,1.66306E+15,Tuesday,1FF256035BA247B0AF2480887ABD0434,K9ffHGwcTGhckoDxos4N5WDAj4o1,14490396002,1,3,1,34,0,0,1,1,1,1
26/07/2022,1.65883E+15,Tuesday,effbc254ba576278fa5d064491958314,ilkk3rXHfvRVozJzRT77tN1Bu9I2,5754409024,0,0,1,6,0,0,1,1,1,1
