event_date,session_timestamp,event_wday,user_id,user_customer_id,session_id,ga_session_number,customer_type,session_duration_microseconds,completed_transaction,signed_up,transaction_value,pages_visited,app_removed,personalise_store_pageviews,purposeful_shelves_pageviews,digi_me_pageviews,homepage_duration_microseconds,add_to_cart,scan_qr,notification_open,notification_receive
01/07/2022,1.65668E+15,Friday,A2ECCB4200624749A49AEEEB39069423,CK8zzagBwJaJz3eygIuvIWBL4Mu1,1656684716,32,Returning Visitor,348691005,0,0,,9,0,0,0,0,319588003,0,0,0,0
01/07/2022,1.65669E+15,Friday,A2ECCB4200624749A49AEEEB39069423,CK8zzagBwJaJz3eygIuvIWBL4Mu1,1656690772,33,Returning Visitor,2058641002,0,0,,19,0,1,0,0,4.23168E+11,0,0,0,0
01/07/2022,1.65666E+15,Friday,ad6990b030b71b9731d5c99ce9d8a3e2,EwG7FHnawNhQZygZO4KAX8eMVDH2,1656663706,6,Returning Visitor,7079202004,0,0,,17,0,1,17,0,9638009,3,6,0,0
01/07/2022,1.65667E+15,Friday,ad6990b030b71b9731d5c99ce9d8a3e2,EwG7FHnawNhQZygZO4KAX8eMVDH2,1656672717,7,Returning Visitor,798254001,0,0,,6,0,0,0,0,0,0,0,0,0
01/07/2022,1.65668E+15,Friday,e4e33b3c42f3c05e6ecc113b4532e044,K9KeA6etCVe1opm6b1ThDsMiVW33,1656679676,22,Returning Visitor,264478005,0,0,,15,0,0,0,0,10543996,0,0,0,0
01/07/2022,1.65668E+15,Friday,F820063027A047C2B9B76513650347CC,eHx4gdO3pjeh9lnY4qKODkttevv2,1656683596,2,Returning Visitor,1942589000,0,0,,2,0,0,15,0,61051995,0,15,0,0
01/07/2022,1.65668E+15,Friday,F8D5947FB3E14D549452B7499C932281,eHx4gdO3pjeh9lnY4qKODkttevv2,1656675673,3,Returning Visitor,3758000,0,0,,5,0,0,0,0,75857000,0,0,0,0
01/07/2022,1.65667E+15,Friday,0b8ff8600c681a30b971d4512943723f,hjRP0AmeMkeswtXtyowwWn1d0mr1,1656667546,3,Returning Visitor,150226002,0,0,,12,0,0,12,0,58098003,0,0,0,0
07/10/2022,1.66513E+15,Friday,16570692E9D248E0953E3489B2C2A56B,hjRP0AmeMkeswtXtyowwWn1d0mr1,1665052133,8,Returning Visitor,0,0,0,,1,0,0,0,0,0,0,0,0,0
07/10/2022,1.66513E+15,Friday,98376ED5FAEA4B779FFB8E17D51C0CA4,mZhPRMCe6ihCGgr4WLNKA74Lfcq2,1665126569,3,Returning Visitor,597003,0,0,,4,0,0,0,0,0,0,0,0,0
